_id,deviceID,lowPulseOccupancy,Ratio,concentration,timestamp
66979ef1ef447e0007c301f9,device01,90378,0.015063,8.451901436,Wed Jul 17 2024 10:37:37 GMT+0000 (Coordinated Universal Time)
6697a14bef447e0007c301fa,device01,101277,0.016879501,9.396263123,Wed Jul 17 2024 10:47:39 GMT+0000 (Coordinated Universal Time)
6697a3a5ef447e0007c301fb,device01,73704,0.012284,7.007108688,Wed Jul 17 2024 10:57:41 GMT+0000 (Coordinated Universal Time)
6697a5ffef447e0007c301fc,device01,11667,0.0019445,1.631125569,Wed Jul 17 2024 11:07:43 GMT+0000 (Coordinated Universal Time)
6697a85aef447e0007c301fd,device01,195827,0.032637835,17.58766365,Wed Jul 17 2024 11:17:46 GMT+0000 (Coordinated Universal Time)
6697aab3ef447e0007c301fe,device01,265434,0.044238999,23.61693764,Wed Jul 17 2024 11:27:47 GMT+0000 (Coordinated Universal Time)
6697ad0eef447e0007c301ff,device01,342651,0.057108499,30.30422974,Wed Jul 17 2024 11:37:50 GMT+0000 (Coordinated Universal Time)
6697af67ef447e0007c30200,device01,303284,0.050547332,26.89504623,Wed Jul 17 2024 11:47:51 GMT+0000 (Coordinated Universal Time)
6697b1c1ef447e0007c30201,device01,295480,0.049246665,26.21918106,Wed Jul 17 2024 11:57:53 GMT+0000 (Coordinated Universal Time)
6697b41cef447e0007c30202,device01,187725,0.031287499,16.88581276,Wed Jul 17 2024 12:07:56 GMT+0000 (Coordinated Universal Time)
6697b676ef447e0007c30203,device01,248706,0.041451,22.16806984,Wed Jul 17 2024 12:17:58 GMT+0000 (Coordinated Universal Time)
6697b8cfef447e0007c30204,device01,276228,0.046038002,24.55181313,Wed Jul 17 2024 12:27:59 GMT+0000 (Coordinated Universal Time)
6697bb2aef447e0007c30205,device01,272177,0.045362834,24.20095825,Wed Jul 17 2024 12:38:02 GMT+0000 (Coordinated Universal Time)
6697bd84ef447e0007c30206,device01,184832,0.030805333,16.63519859,Wed Jul 17 2024 12:48:04 GMT+0000 (Coordinated Universal Time)
6697bfddef447e0007c30207,device01,0,0,0.620000005,Wed Jul 17 2024 12:58:05 GMT+0000 (Coordinated Universal Time)
6697c238ef447e0007c30208,device01,790689,0.131781504,69.08290863,Wed Jul 17 2024 13:08:08 GMT+0000 (Coordinated Universal Time)
6697c491ef447e0007c30209,device01,0,0,0.620000005,Wed Jul 17 2024 13:18:09 GMT+0000 (Coordinated Universal Time)
6697c6ebef447e0007c3020a,device01,216527,0.036087833,19.38077545,Wed Jul 17 2024 13:28:11 GMT+0000 (Coordinated Universal Time)
6697c946ef447e0007c3020b,device01,173186,0.028864333,15.62631416,Wed Jul 17 2024 13:38:14 GMT+0000 (Coordinated Universal Time)
6697cba0ef447e0007c3020c,device01,70542,0.011757,6.733116627,Wed Jul 17 2024 13:48:16 GMT+0000 (Coordinated Universal Time)
6697cdfaef447e0007c3020d,device01,156854,0.026142333,14.21143627,Wed Jul 17 2024 13:58:18 GMT+0000 (Coordinated Universal Time)
6697d054ef447e0007c3020e,device01,0,0,0.620000005,Wed Jul 17 2024 14:08:20 GMT+0000 (Coordinated Universal Time)
6697d2adef447e0007c3020f,device01,0,0,0.620000005,Wed Jul 17 2024 14:18:21 GMT+0000 (Coordinated Universal Time)
6697d507ef447e0007c30210,device01,462573,0.077095501,40.68758011,Wed Jul 17 2024 14:28:23 GMT+0000 (Coordinated Universal Time)
6697d762ef447e0007c30211,device01,872309,0.145384833,76.14317322,Wed Jul 17 2024 14:38:26 GMT+0000 (Coordinated Universal Time)
6697d9bbef447e0007c30212,device01,313132,0.052188668,27.74791336,Wed Jul 17 2024 14:48:27 GMT+0000 (Coordinated Universal Time)
6697dc16ef447e0007c30213,device01,499751,0.083291836,43.90602875,Wed Jul 17 2024 14:58:30 GMT+0000 (Coordinated Universal Time)
